_id,event_time,symbol,trade_id,price,quantity,buyer_order_id,seller_order_id,trade_time,side
ObjectId("5b5142e92c3f9006d8b23689"),1532052199405,XLMBTC,11663285,0.00004078,50,37713651,37713653,1532052199401,sell
ObjectId("5b5142eb2c3f9006d8b2368a"),1532052201693,XLMBTC,11663286,0.00004077,2001,37713667,37713666,1532052201689,buy
ObjectId("5b5142eb2c3f9006d8b2368b"),1532052201708,XLMBTC,11663287,0.00004076,4446,37713642,37713668,1532052201706,sell
ObjectId("5b5142eb2c3f9006d8b2368c"),1532052201724,XLMBTC,11663288,0.00004076,1854,37713643,37713669,1532052201721,sell
ObjectId("5b5142ee2c3f9006d8b2368d"),1532052204252,XLMBTC,11663289,0.00004074,35,37713640,37713681,1532052204248,sell
ObjectId("5b5142ee2c3f9006d8b2368e"),1532052204644,XLMBTC,11663290,0.00004074,196,37713640,37713683,1532052204639,sell
ObjectId("5b5142ef2c3f9006d8b2368f"),1532052205621,XLMBTC,11663291,0.00004073,1289,37713688,37713683,1532052205618,buy
ObjectId("5b5142ef2c3f9006d8b23690"),1532052205698,XLMBTC,11663292,0.00004073,2151,37713689,37713683,1532052205696,buy
ObjectId("5b5142f52c3f9006d8b23691"),1532052211249,XLMBTC,11663293,0.00004077,672,37713713,37713698,1532052211245,buy
ObjectId("5b5142f72c3f9006d8b23692"),1532052213524,XLMBTC,11663294,0.00004073,821,37713722,37713721,1532052213521,buy
ObjectId("5b5142f72c3f9006d8b23693"),1532052213777,XLMBTC,11663295,0.00004073,1465,37713725,37713721,1532052213775,buy
ObjectId("5b5142fd2c3f9006d8b23694"),1532052219042,XLMBTC,11663296,0.00004077,42,37713746,37713748,1532052219039,sell
ObjectId("5b5142ff2c3f9006d8b23695"),1532052221315,XLMBTC,11663297,0.00004077,987,37713746,37713757,1532052221311,sell
ObjectId("5b5142ff2c3f9006d8b23696"),1532052221710,XLMBTC,11663298,0.00004077,3574,37713746,37713758,1532052221705,sell
ObjectId("5b5143002c3f9006d8b23697"),1532052222022,XLMBTC,11663299,0.00004077,1029,37713759,37713758,1532052222018,buy
ObjectId("5b5143012c3f9006d8b23698"),1532052223534,XLMBTC,11663300,0.00004077,1095,37713759,37713762,1532052223530,sell
ObjectId("5b5143022c3f9006d8b23699"),1532052224408,XLMBTC,11663301,0.00004078,339,37713763,37713764,1532052224407,sell
ObjectId("5b5143032c3f9006d8b2369a"),1532052225177,XLMBTC,11663302,0.00004077,57,37713759,37713768,1532052225170,sell
ObjectId("5b5143062c3f9006d8b2369b"),1532052227963,XLMBTC,11663303,0.00004079,42,37713780,37713248,1532052227959,buy
ObjectId("5b5143062c3f9006d8b2369c"),1532052228247,XLMBTC,11663304,0.00004079,25,37713782,37713248,1532052228245,buy
ObjectId("5b5143072c3f9006d8b2369d"),1532052229579,XLMBTC,11663305,0.00004077,146,37713789,37713790,1532052229575,sell
ObjectId("5b5143072c3f9006d8b2369e"),1532052229579,XLMBTC,11663306,0.00004073,274,37713788,37713790,1532052229575,sell
ObjectId("5b5143072c3f9006d8b2369f"),1532052229579,XLMBTC,11663307,0.00004072,1180,37713777,37713790,1532052229575,sell
ObjectId("5b51430a2c3f9006d8b236a0"),1532052232484,XLMBTC,11663308,0.00004079,147,37713801,37713248,1532052232479,buy
ObjectId("5b51430a2c3f9006d8b236a1"),1532052232484,XLMBTC,11663309,0.00004079,2442,37713801,37713686,1532052232479,buy
ObjectId("5b51430a2c3f9006d8b236a2"),1532052232484,XLMBTC,11663310,0.00004079,982,37713801,37713783,1532052232479,buy
ObjectId("5b51430b2c3f9006d8b236a3"),1532052233409,XLMBTC,11663311,0.00004079,9537,37713801,37713804,1532052233405,sell
ObjectId("5b51430b2c3f9006d8b236a4"),1532052233791,XLMBTC,11663312,0.00004079,95,37713801,37713807,1532052233786,sell
ObjectId("5b51430d2c3f9006d8b236a5"),1532052235538,XLMBTC,11663313,0.00004079,5161,37713801,37713815,1532052235533,sell
ObjectId("5b51430d2c3f9006d8b236a6"),1532052235538,XLMBTC,11663314,0.00004079,627,37713813,37713815,1532052235533,sell
ObjectId("5b51430e2c3f9006d8b236a7"),1532052236385,XLMBTC,11663315,0.00004074,9,37713817,37713820,1532052236383,sell
ObjectId("5b5143122c3f9006d8b236a8"),1532052240405,XLMBTC,11663316,0.00004078,150,37713836,37713838,1532052240402,sell
ObjectId("5b5143132c3f9006d8b236a9"),1532052241691,XLMBTC,11663317,0.00004077,5294,37713829,37713844,1532052241686,sell
ObjectId("5b5143132c3f9006d8b236aa"),1532052241691,XLMBTC,11663318,0.00004076,885,37713825,37713844,1532052241686,sell
ObjectId("5b5143132c3f9006d8b236ab"),1532052241691,XLMBTC,11663319,0.00004076,5500,37713826,37713844,1532052241686,sell
ObjectId("5b5143142c3f9006d8b236ac"),1532052241960,XLMBTC,11663320,0.00004075,820,37713845,37713844,1532052241958,buy
ObjectId("5b5143142c3f9006d8b236ad"),1532052242204,XLMBTC,11663321,0.00004075,60,37713846,37713844,1532052242200,buy
ObjectId("5b5143152c3f9006d8b236ae"),1532052243411,XLMBTC,11663322,0.00004074,766,37713842,37713850,1532052243411,sell
ObjectId("5b5143172c3f9006d8b236af"),1532052245200,XLMBTC,11663323,0.00004075,74,37713858,37713844,1532052245198,buy
ObjectId("5b5143172c3f9006d8b236b0"),1532052245217,XLMBTC,11663324,0.00004074,315,37713852,37713859,1532052245215,sell
ObjectId("5b51431a2c3f9006d8b236b1"),1532052248110,XLMBTC,11663325,0.00004075,1490,37713872,37713844,1532052248108,buy
ObjectId("5b51431d2c3f9006d8b236b2"),1532052251481,XLMBTC,11663326,0.00004073,2053,37713873,37713882,1532052251478,sell
ObjectId("5b51431d2c3f9006d8b236b3"),1532052251504,XLMBTC,11663327,0.00004073,2436,37713874,37713883,1532052251503,sell
ObjectId("5b51431e2c3f9006d8b236b4"),1532052252402,XLMBTC,11663328,0.00004072,1946,37713886,37713890,1532052252396,sell
ObjectId("5b51431e2c3f9006d8b236b5"),1532052252402,XLMBTC,11663329,0.00004071,291,37713870,37713890,1532052252396,sell
ObjectId("5b51431e2c3f9006d8b236b6"),1532052252402,XLMBTC,11663330,0.0000407,49,37713691,37713890,1532052252396,sell
ObjectId("5b51431e2c3f9006d8b236b7"),1532052252402,XLMBTC,11663331,0.0000407,7226,37713738,37713890,1532052252396,sell
ObjectId("5b5143242c3f9006d8b236b8"),1532052258728,XLMBTC,11663332,0.00004075,2502,37713913,37713844,1532052258727,buy
